abbreviated file name,Minute,microsec,cycles,SPL_Pa,kHz,Bandwidth,end kHz,Qn,TrN
Walker,1/9/16 21:03,27541790,19,23,131,1,116,2,122
Walker,1/9/16 21:03,27607755,18,20,133,0,131,2,122
Walker,1/9/16 21:03,27672640,16,18,134,1,128,2,122
Walker,1/9/16 21:03,27735005,15,25,131,0,116,2,122
Walker,1/9/16 21:03,27803235,16,20,134,1,135,2,122
Walker,1/9/16 21:03,27874690,18,26,133,0,142,2,122
Walker,2/9/16 0:43,32156955,5,13,137,0,138,2,7
Walker,2/9/16 0:43,32189165,5,12,140,0,138,2,7
Walker,2/9/16 0:43,32226670,5,15,135,0,135,2,7
Walker,2/9/16 0:43,32262625,6,16,140,1,142,2,7
Walker,2/9/16 0:43,32297310,7,15,138,0,142,2,7
Walker,2/9/16 0:43,32331345,6,15,137,0,138,2,7
Walker,2/9/16 0:43,32365375,7,15,140,0,135,2,7
Walker,2/9/16 0:43,32399900,7,16,137,0,131,2,7
Walker,2/9/16 0:43,32434290,5,14,136,0,131,2,7
Walker,2/9/16 0:43,32471150,6,14,139,0,135,2,7
Walker,2/9/16 0:43,32509845,6,10,136,1,131,2,7
Walker,2/9/16 0:43,32557680,5,12,138,0,138,2,7
Walker,2/9/16 0:43,32605715,6,13,136,0,138,2,7
Walker,2/9/16 0:43,32651720,5,10,141,1,142,2,7
Walker,2/9/16 0:43,32695075,5,12,138,0,135,2,7
Walker,2/9/16 4:39,23550365,13,56,140,0,151,2,15
Walker,2/9/16 4:39,23576260,14,57,141,0,151,2,15
Walker,2/9/16 4:39,23601955,13,57,140,0,142,2,15
Walker,2/9/16 4:39,23627225,13,54,140,0,142,2,15
Walker,2/9/16 4:39,23653015,13,51,140,0,156,2,15
Walker,2/9/16 4:39,23679230,13,53,140,0,156,2,15
Walker,2/9/16 4:39,23704535,14,61,139,0,135,2,15
Walker,2/9/16 21:31,37270320,13,14,142,0,131,2,101
Walker,2/9/16 21:31,37313660,10,16,134,1,135,2,101
Walker,2/9/16 21:31,37355965,5,12,135,0,128,2,101
Walker,2/9/16 21:31,37399770,7,6,133,1,128,2,101
Walker,2/9/16 21:31,37444815,25,25,137,0,156,2,101
Walker,2/9/16 21:31,37488610,8,14,133,0,128,2,101
Walker,2/9/16 21:31,37530900,15,13,136,0,125,2,101
Walker,2/9/16 21:31,37574490,14,11,141,1,128,2,101
Walker,2/9/16 21:31,37615645,44,17,143,0,128,2,101
Walker,2/9/16 21:31,37657725,11,15,139,0,142,2,101
Walker,2/9/16 21:31,37699550,8,14,133,1,125,2,101
Walker,2/9/16 21:31,37740745,18,33,137,0,125,2,101
Walker,2/9/16 21:31,37778485,5,11,137,0,142,2,101
Walker,2/9/16 21:31,37824035,6,15,137,0,138,2,101
Walker,2/9/16 21:31,37873695,10,28,135,0,121,2,101
Walker,2/9/16 21:31,37926815,11,42,137,0,128,2,101
Walker,2/9/16 21:31,37984455,10,45,136,0,131,2,101
Walker,2/9/16 21:31,38045905,8,19,136,0,128,2,101
Walker,3/9/16 1:11,27691840,6,58,46,3,44,2,54
Walker,3/9/16 1:11,27761450,5,144,44,5,52,2,54
Walker,3/9/16 1:11,27828275,5,12,33,6,31,2,54
Walker,3/9/16 1:11,27897825,5,10,33,9,33,2,54
Walker,3/9/16 1:11,27968575,5,77,45,4,53,2,54
Walker,3/9/16 1:11,28033145,5,90,44,5,52,2,54
Walker,3/9/16 1:11,28101250,5,117,44,5,52,2,54
Walker,3/9/16 1:11,28168445,5,120,44,5,52,2,54
Walker,3/9/16 1:11,28234095,5,131,43,5,52,2,54
Walker,3/9/16 1:11,28302190,5,143,43,5,51,2,54
Walker,3/9/16 1:11,28378640,5,13,49,1,52,2,54
Walker,3/9/16 1:11,28452440,6,52,42,4,36,2,54
Walker,3/9/16 1:11,28517925,5,50,46,2,45,2,54
Walker,3/9/16 1:11,28584310,5,77,45,5,54,2,54
Walker,3/9/16 1:11,28649850,9,15,39,6,36,2,54
Walker,3/9/16 1:11,37635720,5,85,96,1,104,2,60
Walker,3/9/16 1:11,37676880,5,71,96,1,104,2,60
Walker,3/9/16 1:11,37715820,5,11,41,8,43,2,60
Walker,3/9/16 1:11,37753940,4,67,93,0,102,2,60
Walker,3/9/16 1:11,37790885,7,77,89,3,106,2,60
Walker,3/9/16 1:11,37832340,6,8,33,9,33,2,60
Walker,3/9/16 1:11,37869905,8,11,37,9,46,2,60
Walker,3/9/16 1:11,37908785,6,11,43,7,49,2,60
Walker,3/9/16 1:11,37948380,6,155,48,9,74,2,60
Walker,3/9/16 1:11,37988570,5,32,52,3,57,2,60
Walker,3/9/16 1:11,38028425,7,12,35,8,34,2,60
Walker,3/9/16 1:11,38067980,5,22,69,2,74,2,60
Walker,3/9/16 1:11,38106620,4,56,50,0,50,2,60
Walker,3/9/16 1:11,38184000,4,126,51,0,56,2,60
Walker,3/9/16 1:11,38222255,4,53,50,0,49,2,60
Walker,3/9/16 1:11,38260620,6,10,47,4,40,2,60
Walker,3/9/16 1:11,38299600,6,9,48,2,50,2,60
Walker,3/9/16 1:11,38338930,4,53,49,0,52,2,60
Walker,3/9/16 1:11,38378065,4,52,49,0,51,2,60
Walker,3/9/16 1:11,43689415,5,90,43,5,50,3,65
Walker,3/9/16 1:11,43717410,5,16,51,2,57,3,65
Walker,3/9/16 1:11,43744660,6,12,34,3,33,3,65
Walker,3/9/16 1:11,43771765,6,51,44,2,43,3,65
Walker,3/9/16 1:11,43797595,7,10,44,8,54,3,65
Walker,3/9/16 1:11,43822645,5,87,44,5,50,3,65
Walker,3/9/16 1:11,43849235,4,51,45,0,45,3,65
Walker,3/9/16 1:11,43874385,7,54,47,4,46,3,65
Walker,3/9/16 1:11,43899180,6,14,45,6,51,3,65
Walker,3/9/16 1:11,43924025,5,58,41,9,44,3,65
Walker,3/9/16 1:11,43948775,7,53,47,3,49,3,65
Walker,3/9/16 1:11,43973000,7,52,46,3,44,3,65
Walker,3/9/16 1:11,43997110,5,53,45,4,43,3,65
Walker,3/9/16 1:11,44020875,11,51,49,4,49,3,65
Walker,3/9/16 1:11,44044560,5,10,46,3,50,3,65
Walker,3/9/16 1:11,44067755,6,19,44,4,45,3,65
Walker,3/9/16 1:11,44090635,6,53,46,1,49,3,65
Walker,3/9/16 1:11,44113335,5,15,48,3,50,3,65
Walker,3/9/16 1:11,44136185,6,12,47,2,48,3,65
Walker,3/9/16 20:14,52671350,5,12,138,1,138,2,112
Walker,3/9/16 20:14,52743950,6,16,141,1,138,2,112
Walker,3/9/16 20:14,52816470,5,13,137,0,135,2,112
Walker,3/9/16 20:14,52887740,6,12,134,0,125,2,112
Walker,3/9/16 20:14,52959880,6,14,136,0,135,2,112
Walker,3/9/16 20:14,53031695,6,16,143,1,142,2,112
Walker,3/9/16 20:14,55331635,5,22,138,0,138,2,114
Walker,3/9/16 20:14,55392615,7,20,138,0,131,2,114
Walker,3/9/16 20:14,55453370,6,18,136,0,128,2,114
Walker,3/9/16 20:14,55513870,6,19,136,0,125,2,114
Walker,3/9/16 20:14,55573395,5,10,140,2,119,2,114
Walker,3/9/16 20:14,55631820,6,11,137,1,135,2,114
Walker,3/9/16 23:10,3938740,7,14,34,8,39,2,123
Walker,3/9/16 23:10,3998735,7,10,33,12,36,2,123
Walker,3/9/16 23:10,4062575,5,44,44,4,52,2,123
Walker,3/9/16 23:10,4126000,7,48,38,6,52,2,123
Walker,3/9/16 23:10,4189545,5,50,44,2,49,2,123
Walker,3/9/16 23:10,4253760,5,32,42,2,48,2,123
Walker,3/9/16 23:10,4381795,5,33,40,5,43,3,124
Walker,3/9/16 23:10,4444200,6,50,45,5,51,3,124
Walker,3/9/16 23:10,4506090,6,62,45,4,50,3,124
Walker,3/9/16 23:10,4566570,6,64,45,2,48,3,124
Walker,3/9/16 23:10,4625570,6,61,42,7,49,3,124
Walker,3/9/16 23:10,4685020,5,63,41,5,39,3,124
Walker,3/9/16 23:10,4744735,8,73,45,5,46,3,124
Walker,3/9/16 23:10,4804465,6,82,43,4,45,3,124
Walker,3/9/16 23:10,4864075,6,83,42,4,44,3,124
Walker,3/9/16 23:10,4922865,9,73,43,6,38,3,124
Walker,3/9/16 23:10,4979600,6,68,45,4,47,3,124
Walker,3/9/16 23:10,5036410,4,53,42,0,47,3,124
Walker,3/9/16 23:10,5095480,9,77,43,6,45,3,124
Walker,3/9/16 23:10,5151375,4,59,41,0,44,3,124
Walker,3/9/16 23:10,5210155,4,78,47,0,46,3,124
Walker,3/9/16 23:10,5331710,7,89,46,6,43,3,124
Walker,3/9/16 23:10,5393410,5,79,45,4,40,3,124
Walker,3/9/16 23:10,5454665,6,77,44,4,43,3,124
Walker,3/9/16 23:10,5513625,8,82,46,2,43,3,124
Walker,3/9/16 23:10,6256620,6,20,31,8,33,2,125
Walker,3/9/16 23:10,6313415,8,13,34,7,36,2,125
Walker,3/9/16 23:10,6369880,8,11,32,4,27,2,125
Walker,3/9/16 23:10,6426110,5,12,34,4,32,2,125
Walker,3/9/16 23:10,6480080,11,21,35,5,30,2,125
